Year,Month,Employee Number,Total Cost,Other Cost,Cost of International,Cost of DATA,Cost of Roaming data,Cost of SMS,Cost of Roaming,Cost of Services,Cost of Other Mobile Networks,Cost of Landline,Plans,Features,Tax,Discount,Other,Duration of International,Duration of On net,Number of SMS,Duration of Roaming,Duration of Services,Duration of Other Mobile Networks,Duration of Landline,Number of International Calls,Number of On net Calls,Number of Roaming Calls,Number of Services Calls,Number of Other Mobile Networks calls,Number of Landline Calls,Volume of DATA,Volume of Roaming data,Carrier,Plans_1
2020,January,372337,71,44.43,0,26.57,0,0,0,0,0,0,80,3.99,9.6,-36.04,0,0,0.875,813,0,2.791666667,16.54166667,29.91666667,0,3,0,75,35,83,11729.36,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,376727,228.77,65.97,2.45,0,0,0,0,160,0,0,80,3.99,12.14,-17.04,0,0.333333333,0.125,46,5.875,3.583333333,2.333333333,27.33333333,2,2,80,57,27,107,2251.94,2037.38,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,357472,259.16,114.26,0,0,140,2.1,3,0,0,0,98.75,0,15.51,0,0,0,0,153,0.333333333,0,3.166666667,12.41666667,0,0,6,0,34,33,16729.45,5120,Verizon US,Unl Min 15gb Email+Mhs Shr
2020,January,372780,87.11,83.12,3.99,0,0,0,0,0,0,0,44.99,93.98,13.67,-20.4,0,0.875,1.958333333,366,0,7.583333333,9.083333333,28.33333333,1,5,0,41,26,63,9231.23,0,ATT US,BMBPNTN450UNWUMM
2020,January,359372,67.17,64.94,0,2.23,0,0,0,0,0,0,80,3.99,11.11,-17.04,0,0,0,28,0,8.916666667,0.625,18.70833333,0,0,0,33,5,90,5681.23,0,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,364772,64.28,64.28,0,0,0,0,0,0,0,0,65,0,12.93,-13.65,0,0,0,74,0,0.5,1.958333333,7.208333333,0,0,0,4,5,30,15718.4,0,Verizon US,4g Nw Unl Min&Msg+Email&Data
2020,January,268286,83.23,48.43,0,30.44,4,0,0,0,0,0,80,3.99,9.6,-36.04,0,0.208333333,0,139,0,2.708333333,9.125,25.58333333,1,0,0,34,33,37,12693.95,1085.85,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
2020,January,377096,285.44,94.64,1.95,0,70,0.05,115,3.96,0,0,55,0,39.64,0,0,0.625,0,132,4.833333333,0.708333333,0,4.5,2,0,1,5,0,20,10366.48,2048,Verizon US,Unl Min 5gb Email+Mhs Shr
2020,January,196872,75.54,75.54,0,0,0,0,0,0,0,0,61,0,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verizon US,Unl Min 7gb Email+Mhs Shr
2020,January,352970,184.25,66.69,0.9,4.67,12,0,0,100,0,0,80,3.99,12.86,-17.04,0,0.125,0.416666667,55,0,1.458333333,1.5,7.125,3,4,0,40,3,25,3485.96,3303.82,ATT US,Mobile Select 5GB Pool iPhone on 4G LTE VVM
